topic_or_service,expected_canonical_path,additional_paths_found,classification,conflict_found,action_taken,final_owner,validation_result,notes
AWS Migration Hub,11-migration-and-hybrid-cloud/aws-migration-hub/01-overview.md,none identified by duplicate and inventory scans,canonical,false,none required,11-migration-and-hybrid-cloud/aws-migration-hub/01-overview.md,passed,Historical mentions and comparisons were retained in their proper roles.
AWS Outposts,11-migration-and-hybrid-cloud/aws-outposts/01-overview.md,none identified by duplicate and inventory scans,canonical,false,none required,11-migration-and-hybrid-cloud/aws-outposts/01-overview.md,passed,Historical mentions and comparisons were retained in their proper roles.
AWS Schema Conversion Tool (AWS SCT),11-migration-and-hybrid-cloud/aws-schema-conversion-tool/01-overview.md,none identified by duplicate and inventory scans,canonical,false,none required,11-migration-and-hybrid-cloud/aws-schema-conversion-tool/01-overview.md,passed,Historical mentions and comparisons were retained in their proper roles.
AWS Snowball Edge,11-migration-and-hybrid-cloud/aws-snowball-edge/01-overview.md,none identified by duplicate and inventory scans,canonical,false,none required,11-migration-and-hybrid-cloud/aws-snowball-edge/01-overview.md,passed,Historical mentions and comparisons were retained in their proper roles.
Migration And Hybrid Cloud,11-migration-and-hybrid-cloud/README.md,none identified by duplicate and inventory scans,supplementary,false,none required,not a competing service owner,passed,Historical mentions and comparisons were retained in their proper roles.
AWS Billing and Cost Management,12-billing-pricing-and-support/aws-billing-and-cost-management/01-overview.md,none identified by duplicate and inventory scans,canonical,false,none required,12-billing-pricing-and-support/aws-billing-and-cost-management/01-overview.md,passed,Historical mentions and comparisons were retained in their proper roles.
AWS Pricing Fundamentals and Purchasing Models,12-billing-pricing-and-support/aws-billing-and-cost-management/02-study-guide.md,none identified by duplicate and inventory scans,canonical,false,none required,12-billing-pricing-and-support/aws-billing-and-cost-management/02-study-guide.md,passed,Historical mentions and comparisons were retained in their proper roles.
AWS Data Transfer Cost Architecture,12-billing-pricing-and-support/aws-billing-and-cost-management/03-data-transfer-costs.md,none identified by duplicate and inventory scans,canonical,false,none required,12-billing-pricing-and-support/aws-billing-and-cost-management/03-data-transfer-costs.md,passed,Historical mentions and comparisons were retained in their proper roles.
Rightsizing on AWS,12-billing-pricing-and-support/aws-billing-and-cost-management/04-rightsizing.md,none identified by duplicate and inventory scans,canonical,false,none required,12-billing-pricing-and-support/aws-billing-and-cost-management/04-rightsizing.md,passed,Historical mentions and comparisons were retained in their proper roles.
Aws Billing And Cost Management,12-billing-pricing-and-support/aws-billing-and-cost-management/README.md,none identified by duplicate and inventory scans,supplementary,false,none required,not a competing service owner,passed,Historical mentions and comparisons were retained in their proper roles.
AWS Billing Conductor for Chargeback Reports,12-billing-pricing-and-support/aws-billing-conductor/01-overview.md,none identified by duplicate and inventory scans,canonical,false,none required,12-billing-pricing-and-support/aws-billing-conductor/01-overview.md,passed,Historical mentions and comparisons were retained in their proper roles.
AWS Budgets,12-billing-pricing-and-support/aws-budgets/01-overview.md,none identified by duplicate and inventory scans,canonical,false,none required,12-billing-pricing-and-support/aws-budgets/01-overview.md,passed,Historical mentions and comparisons were retained in their proper roles.
AWS Cost Allocation Tags,12-billing-pricing-and-support/aws-cost-allocation-tags/01-overview.md,none identified by duplicate and inventory scans,canonical,false,none required,12-billing-pricing-and-support/aws-cost-allocation-tags/01-overview.md,passed,Historical mentions and comparisons were retained in their proper roles.
AWS Cost and Usage Reports (CUR),12-billing-pricing-and-support/aws-cost-and-usage-reports/01-overview.md,none identified by duplicate and inventory scans,canonical,false,none required,12-billing-pricing-and-support/aws-cost-and-usage-reports/01-overview.md,passed,Historical mentions and comparisons were retained in their proper roles.
AWS Cost Explorer,12-billing-pricing-and-support/aws-cost-explorer/01-overview.md,none identified by duplicate and inventory scans,canonical,false,none required,12-billing-pricing-and-support/aws-cost-explorer/01-overview.md,passed,Historical mentions and comparisons were retained in their proper roles.
Aws Health Dashboard,12-billing-pricing-and-support/aws-health-dashboard/01-overview.md,none identified by duplicate and inventory scans,canonical,false,none required,12-billing-pricing-and-support/aws-health-dashboard/01-overview.md,passed,Historical mentions and comparisons were retained in their proper roles.
AWS Pricing Calculator,12-billing-pricing-and-support/aws-pricing-calculator/01-overview.md,none identified by duplicate and inventory scans,canonical,false,none required,12-billing-pricing-and-support/aws-pricing-calculator/01-overview.md,passed,Historical mentions and comparisons were retained in their proper roles.
AWS rePost,12-billing-pricing-and-support/aws-repost/01-overview.md,none identified by duplicate and inventory scans,canonical,false,none required,12-billing-pricing-and-support/aws-repost/01-overview.md,passed,Historical mentions and comparisons were retained in their proper roles.
☁️ AWS Savings Plans — Complete Study Guide,12-billing-pricing-and-support/aws-savings-plans/02-study-guide.md,none identified by duplicate and inventory scans,canonical,false,none required,12-billing-pricing-and-support/aws-savings-plans/02-study-guide.md,passed,Historical mentions and comparisons were retained in their proper roles.
AWS Support Center,12-billing-pricing-and-support/aws-support/01-overview.md,none identified by duplicate and inventory scans,canonical,false,none required,12-billing-pricing-and-support/aws-support/01-overview.md,passed,Historical mentions and comparisons were retained in their proper roles.
AWS Support Plans,12-billing-pricing-and-support/aws-support/02-support-plans.md,none identified by duplicate and inventory scans,canonical,false,none required,12-billing-pricing-and-support/aws-support/02-support-plans.md,passed,Historical mentions and comparisons were retained in their proper roles.
Aws Support,12-billing-pricing-and-support/aws-support/README.md,none identified by duplicate and inventory scans,supplementary,false,none required,not a competing service owner,passed,Historical mentions and comparisons were retained in their proper roles.
AWS Trusted Advisor,12-billing-pricing-and-support/aws-trusted-advisor/01-overview.md,none identified by duplicate and inventory scans,canonical,false,none required,12-billing-pricing-and-support/aws-trusted-advisor/01-overview.md,passed,Historical mentions and comparisons were retained in their proper roles.
AWS Documentation & Guidance Services,12-billing-pricing-and-support/customer-enablement/aws-guidance/01-study-guide.md,none identified by duplicate and inventory scans,canonical,false,none required,12-billing-pricing-and-support/customer-enablement/aws-guidance/01-study-guide.md,passed,Historical mentions and comparisons were retained in their proper roles.
AWS Managed Services (AMS),12-billing-pricing-and-support/customer-enablement/aws-managed-services/01-overview.md,none identified by duplicate and inventory scans,canonical,false,none required,12-billing-pricing-and-support/customer-enablement/aws-managed-services/01-overview.md,passed,Historical mentions and comparisons were retained in their proper roles.
AWS Partner Network (APN),12-billing-pricing-and-support/customer-enablement/aws-partner-network/01-overview.md,none identified by duplicate and inventory scans,canonical,false,none required,12-billing-pricing-and-support/customer-enablement/aws-partner-network/01-overview.md,passed,Historical mentions and comparisons were retained in their proper roles.
AWS Prescriptive Guidance,12-billing-pricing-and-support/customer-enablement/aws-prescriptive-guidance/01-overview.md,none identified by duplicate and inventory scans,canonical,false,none required,12-billing-pricing-and-support/customer-enablement/aws-prescriptive-guidance/01-overview.md,passed,Historical mentions and comparisons were retained in their proper roles.
Aws Professional Services,12-billing-pricing-and-support/customer-enablement/aws-professional-services/01-overview.md,none identified by duplicate and inventory scans,canonical,false,none required,12-billing-pricing-and-support/customer-enablement/aws-professional-services/01-overview.md,passed,Historical mentions and comparisons were retained in their proper roles.
AWS Recommendation Services — Complete Study Guide,12-billing-pricing-and-support/customer-enablement/aws-recommendation-resources/01-study-guide.md,none identified by duplicate and inventory scans,canonical,false,none required,12-billing-pricing-and-support/customer-enablement/aws-recommendation-resources/01-study-guide.md,passed,Historical mentions and comparisons were retained in their proper roles.
Aws Trust And Safety,12-billing-pricing-and-support/customer-enablement/aws-trust-and-safety/01-overview.md,none identified by duplicate and inventory scans,canonical,false,none required,12-billing-pricing-and-support/customer-enablement/aws-trust-and-safety/01-overview.md,passed,Historical mentions and comparisons were retained in their proper roles.
Billing Pricing And Support,12-billing-pricing-and-support/README.md,none identified by duplicate and inventory scans,supplementary,false,none required,not a competing service owner,passed,Historical mentions and comparisons were retained in their proper roles.
AWS Cloud Adoption Framework (AWS CAF),13-architecture-and-design-patterns/aws-cloud-adoption-framework/01-overview.md,none identified by duplicate and inventory scans,supplementary,false,none required,not a competing service owner,passed,Historical mentions and comparisons were retained in their proper roles.
AWS Well-Architected Framework,13-architecture-and-design-patterns/aws-well-architected-framework/01-overview.md,none identified by duplicate and inventory scans,supplementary,false,none required,not a competing service owner,passed,Historical mentions and comparisons were retained in their proper roles.
Architecture And Design Patterns,13-architecture-and-design-patterns/README.md,none identified by duplicate and inventory scans,supplementary,false,none required,not a competing service owner,passed,Historical mentions and comparisons were retained in their proper roles.
SSL Termination — Complete README,13-architecture-and-design-patterns/transport-layer-security/01-ssl-termination.md,none identified by duplicate and inventory scans,supplementary,false,none required,not a competing service owner,passed,Historical mentions and comparisons were retained in their proper roles.
🔐 SSLTLS with Load Balancer and RDS,13-architecture-and-design-patterns/transport-layer-security/02-tls-with-load-balancers-and-rds.md,none identified by duplicate and inventory scans,supplementary,false,none required,not a competing service owner,passed,Historical mentions and comparisons were retained in their proper roles.
Transport Layer Security,13-architecture-and-design-patterns/transport-layer-security/README.md,none identified by duplicate and inventory scans,supplementary,false,none required,not a competing service owner,passed,Historical mentions and comparisons were retained in their proper roles.
Amazon Athena,14-ai-ml-analytics-and-other-services/analytics/amazon-athena/01-overview.md,none identified by duplicate and inventory scans,canonical,false,none required,14-ai-ml-analytics-and-other-services/analytics/amazon-athena/01-overview.md,passed,Historical mentions and comparisons were retained in their proper roles.
Amazon EMR,14-ai-ml-analytics-and-other-services/analytics/amazon-emr/01-overview.md,none identified by duplicate and inventory scans,canonical,false,none required,14-ai-ml-analytics-and-other-services/analytics/amazon-emr/01-overview.md,passed,Historical mentions and comparisons were retained in their proper roles.
Amazon Kinesis Video Streams,14-ai-ml-analytics-and-other-services/analytics/amazon-kinesis-video-streams/01-overview.md,none identified by duplicate and inventory scans,canonical,false,none required,14-ai-ml-analytics-and-other-services/analytics/amazon-kinesis-video-streams/01-overview.md,passed,Historical mentions and comparisons were retained in their proper roles.
Amazon QuickSight,14-ai-ml-analytics-and-other-services/analytics/amazon-quicksight/01-overview.md,none identified by duplicate and inventory scans,canonical,false,none required,14-ai-ml-analytics-and-other-services/analytics/amazon-quicksight/01-overview.md,passed,Historical mentions and comparisons were retained in their proper roles.
Amazon Redshift,14-ai-ml-analytics-and-other-services/analytics/amazon-redshift/01-overview.md,none identified by duplicate and inventory scans,canonical,false,none required,14-ai-ml-analytics-and-other-services/analytics/amazon-redshift/01-overview.md,passed,Historical mentions and comparisons were retained in their proper roles.
AWS Glue,14-ai-ml-analytics-and-other-services/analytics/aws-glue/01-overview.md,none identified by duplicate and inventory scans,canonical,false,none required,14-ai-ml-analytics-and-other-services/analytics/aws-glue/01-overview.md,passed,Historical mentions and comparisons were retained in their proper roles.
Amazon Comprehend,14-ai-ml-analytics-and-other-services/artificial-intelligence-and-machine-learning/amazon-comprehend/01-overview.md,none identified by duplicate and inventory scans,canonical,false,none required,14-ai-ml-analytics-and-other-services/artificial-intelligence-and-machine-learning/amazon-comprehend/01-overview.md,passed,Historical mentions and comparisons were retained in their proper roles.
Amazon Kendra,14-ai-ml-analytics-and-other-services/artificial-intelligence-and-machine-learning/amazon-kendra/01-overview.md,none identified by duplicate and inventory scans,canonical,false,none required,14-ai-ml-analytics-and-other-services/artificial-intelligence-and-machine-learning/amazon-kendra/01-overview.md,passed,Historical mentions and comparisons were retained in their proper roles.
Amazon Lex,14-ai-ml-analytics-and-other-services/artificial-intelligence-and-machine-learning/amazon-lex/01-overview.md,none identified by duplicate and inventory scans,canonical,false,none required,14-ai-ml-analytics-and-other-services/artificial-intelligence-and-machine-learning/amazon-lex/01-overview.md,passed,Historical mentions and comparisons were retained in their proper roles.
Amazon Polly,14-ai-ml-analytics-and-other-services/artificial-intelligence-and-machine-learning/amazon-polly/01-overview.md,none identified by duplicate and inventory scans,canonical,false,none required,14-ai-ml-analytics-and-other-services/artificial-intelligence-and-machine-learning/amazon-polly/01-overview.md,passed,Historical mentions and comparisons were retained in their proper roles.
Amazon Rekognition,14-ai-ml-analytics-and-other-services/artificial-intelligence-and-machine-learning/amazon-rekognition/01-overview.md,none identified by duplicate and inventory scans,canonical,false,none required,14-ai-ml-analytics-and-other-services/artificial-intelligence-and-machine-learning/amazon-rekognition/01-overview.md,passed,Historical mentions and comparisons were retained in their proper roles.
Amazon Textract,14-ai-ml-analytics-and-other-services/artificial-intelligence-and-machine-learning/amazon-textract/01-overview.md,none identified by duplicate and inventory scans,canonical,false,none required,14-ai-ml-analytics-and-other-services/artificial-intelligence-and-machine-learning/amazon-textract/01-overview.md,passed,Historical mentions and comparisons were retained in their proper roles.
Amazon Translate,14-ai-ml-analytics-and-other-services/artificial-intelligence-and-machine-learning/amazon-translate/01-overview.md,none identified by duplicate and inventory scans,canonical,false,none required,14-ai-ml-analytics-and-other-services/artificial-intelligence-and-machine-learning/amazon-translate/01-overview.md,passed,Historical mentions and comparisons were retained in their proper roles.
Amazon Connect,14-ai-ml-analytics-and-other-services/business-applications/amazon-connect/01-overview.md,none identified by duplicate and inventory scans,canonical,false,none required,14-ai-ml-analytics-and-other-services/business-applications/amazon-connect/01-overview.md,passed,Historical mentions and comparisons were retained in their proper roles.
AWS Amplify,14-ai-ml-analytics-and-other-services/business-applications/aws-amplify/01-overview.md,none identified by duplicate and inventory scans,canonical,false,none required,14-ai-ml-analytics-and-other-services/business-applications/aws-amplify/01-overview.md,passed,Historical mentions and comparisons were retained in their proper roles.
AWS IoT,14-ai-ml-analytics-and-other-services/internet-of-things/aws-iot/01-overview.md,none identified by duplicate and inventory scans,canonical,false,none required,14-ai-ml-analytics-and-other-services/internet-of-things/aws-iot/01-overview.md,passed,Historical mentions and comparisons were retained in their proper roles.
AWS IoT Greengrass,14-ai-ml-analytics-and-other-services/internet-of-things/aws-iot-greengrass/01-overview.md,none identified by duplicate and inventory scans,canonical,false,none required,14-ai-ml-analytics-and-other-services/internet-of-things/aws-iot-greengrass/01-overview.md,passed,Historical mentions and comparisons were retained in their proper roles.
Ai Ml Analytics And Other Services,14-ai-ml-analytics-and-other-services/README.md,none identified by duplicate and inventory scans,supplementary,false,none required,not a competing service owner,passed,Historical mentions and comparisons were retained in their proper roles.
Amazon EMR vs Amazon Redshift,15-comparisons-and-decision-guides/analytics/01-emr-vs-redshift.md,none identified by duplicate and inventory scans,comparison,false,none required,not a competing service owner,passed,Historical mentions and comparisons were retained in their proper roles.
AWS Account Root User vs AWS IAM,15-comparisons-and-decision-guides/identity-and-governance/01-root-user-vs-iam.md,none identified by duplicate and inventory scans,comparison,false,none required,not a competing service owner,passed,Historical mentions and comparisons were retained in their proper roles.
AWS Organizations vs AWS Control Tower,15-comparisons-and-decision-guides/identity-and-governance/02-organizations-vs-control-tower.md,none identified by duplicate and inventory scans,comparison,false,none required,not a competing service owner,passed,Historical mentions and comparisons were retained in their proper roles.
IAM Role vs IAM Group vs IAM User,15-comparisons-and-decision-guides/identity-and-governance/03-users-groups-and-roles.md,none identified by duplicate and inventory scans,comparison,false,none required,not a competing service owner,passed,Historical mentions and comparisons were retained in their proper roles.
Identity And Governance,15-comparisons-and-decision-guides/identity-and-governance/README.md,none identified by duplicate and inventory scans,comparison,false,none required,not a competing service owner,passed,Historical mentions and comparisons were retained in their proper roles.
AWS DataSync vs AWS Database Migration Service (AWS DMS),15-comparisons-and-decision-guides/migration/01-datasync-vs-dms.md,none identified by duplicate and inventory scans,comparison,false,none required,not a competing service owner,passed,Historical mentions and comparisons were retained in their proper roles.
AWS Snowball Edge vs AWS Outposts,15-comparisons-and-decision-guides/migration/02-snowball-edge-vs-outposts.md,none identified by duplicate and inventory scans,comparison,false,none required,not a competing service owner,passed,Historical mentions and comparisons were retained in their proper roles.
Migration,15-comparisons-and-decision-guides/migration/README.md,none identified by duplicate and inventory scans,comparison,false,none required,not a competing service owner,passed,Historical mentions and comparisons were retained in their proper roles.
Amazon CloudFront vs AWS Global Accelerator,15-comparisons-and-decision-guides/networking/01-cloudfront-vs-global-accelerator.md,none identified by duplicate and inventory scans,comparison,false,none required,not a competing service owner,passed,Historical mentions and comparisons were retained in their proper roles.
VPC Endpoint vs VPC Peering vs AWS Transit Gateway,15-comparisons-and-decision-guides/networking/02-vpc-connectivity-options.md,none identified by duplicate and inventory scans,comparison,false,none required,not a competing service owner,passed,Historical mentions and comparisons were retained in their proper roles.
Networking,15-comparisons-and-decision-guides/networking/README.md,none identified by duplicate and inventory scans,comparison,false,none required,not a competing service owner,passed,Historical mentions and comparisons were retained in their proper roles.
Comparisons And Decision Guides,15-comparisons-and-decision-guides/README.md,none identified by duplicate and inventory scans,comparison,false,none required,not a competing service owner,passed,Historical mentions and comparisons were retained in their proper roles.
AWS File Gateway vs AWS Volume Gateway (Cached),15-comparisons-and-decision-guides/storage/01-file-gateway-vs-volume-gateway.md,none identified by duplicate and inventory scans,comparison,false,none required,not a competing service owner,passed,Historical mentions and comparisons were retained in their proper roles.
AWS Storage Gateway vs AWS File Gateway,15-comparisons-and-decision-guides/storage/02-storage-gateway-family.md,none identified by duplicate and inventory scans,comparison,false,none required,not a competing service owner,passed,Historical mentions and comparisons were retained in their proper roles.
Storage,15-comparisons-and-decision-guides/storage/README.md,none identified by duplicate and inventory scans,comparison,false,none required,not a competing service owner,passed,Historical mentions and comparisons were retained in their proper roles.
Exam Preparation,16-exam-preparation/README.md,none identified by duplicate and inventory scans,exam-preparation,false,none required,not a competing service owner,passed,Historical mentions and comparisons were retained in their proper roles.
Highly Available Web Applications,13-architecture-and-design-patterns/01-highly-available-web-applications.md,none identified by duplicate and inventory scans,architecture-pattern,false,none required,not a competing service owner,passed,Historical mentions and comparisons were retained in their proper roles.
Disaster Recovery Strategies,13-architecture-and-design-patterns/02-disaster-recovery-strategies.md,none identified by duplicate and inventory scans,architecture-pattern,false,none required,not a competing service owner,passed,Historical mentions and comparisons were retained in their proper roles.
Event-Driven and Decoupled Systems,13-architecture-and-design-patterns/03-event-driven-and-decoupled-systems.md,none identified by duplicate and inventory scans,architecture-pattern,false,none required,not a competing service owner,passed,Historical mentions and comparisons were retained in their proper roles.
Serverless Application Patterns,13-architecture-and-design-patterns/04-serverless-application-patterns.md,none identified by duplicate and inventory scans,architecture-pattern,false,none required,not a competing service owner,passed,Historical mentions and comparisons were retained in their proper roles.
AWS Cost Management Tool Selection,15-comparisons-and-decision-guides/cost/01-cost-management-tool-selection.md,none identified by duplicate and inventory scans,comparison,false,none required,not a competing service owner,passed,Historical mentions and comparisons were retained in their proper roles.
Cost Decision Guides,15-comparisons-and-decision-guides/cost/README.md,none identified by duplicate and inventory scans,comparison,false,none required,not a competing service owner,passed,Historical mentions and comparisons were retained in their proper roles.
Amazon Kinesis Data Streams and Amazon Data Firehose,14-ai-ml-analytics-and-other-services/analytics/01-kinesis-and-data-firehose.md,none identified by duplicate and inventory scans,canonical,false,none required,14-ai-ml-analytics-and-other-services/analytics/01-kinesis-and-data-firehose.md,passed,Historical mentions and comparisons were retained in their proper roles.
AWS Analytics Service Selection,15-comparisons-and-decision-guides/analytics/02-analytics-service-selection.md,none identified by duplicate and inventory scans,comparison,false,none required,not a competing service owner,passed,Historical mentions and comparisons were retained in their proper roles.
AWS AI and Machine Learning Service Recognition,14-ai-ml-analytics-and-other-services/artificial-intelligence-and-machine-learning/01-service-recognition-guide.md,none identified by duplicate and inventory scans,canonical,false,none required,14-ai-ml-analytics-and-other-services/artificial-intelligence-and-machine-learning/01-service-recognition-guide.md,passed,Historical mentions and comparisons were retained in their proper roles.
Analytics,14-ai-ml-analytics-and-other-services/analytics/README.md,none identified by duplicate and inventory scans,supplementary,false,none required,not a competing service owner,passed,Historical mentions and comparisons were retained in their proper roles.
Artificial Intelligence and Machine Learning,14-ai-ml-analytics-and-other-services/artificial-intelligence-and-machine-learning/README.md,none identified by duplicate and inventory scans,supplementary,false,none required,not a competing service owner,passed,Historical mentions and comparisons were retained in their proper roles.
Analytics Decision Guides,15-comparisons-and-decision-guides/analytics/README.md,none identified by duplicate and inventory scans,comparison,false,none required,not a competing service owner,passed,Historical mentions and comparisons were retained in their proper roles.
AWS Certified Cloud Practitioner Scenario Reasoning,16-exam-preparation/01-cpp-scenario-reasoning.md,none identified by duplicate and inventory scans,exam-preparation,false,none required,not a competing service owner,passed,Historical mentions and comparisons were retained in their proper roles.
AWS Solutions Architect Associate Scenario Reasoning,16-exam-preparation/02-saa-architecture-scenario-reasoning.md,none identified by duplicate and inventory scans,exam-preparation,false,none required,not a competing service owner,passed,Historical mentions and comparisons were retained in their proper roles.
