official_service_name,official_category,cpp_listed,saa_listed,cpp_expected_depth,saa_expected_depth,canonical_location,existing_files,coverage_status,current_badges,recommended_badges,importance,terminology_status,action_required,target_path,notes
AWS Elemental MediaLive,See official in-scope service list,false,false,not-applicable,not-applicable,missing,,out-of-scope,inspect inventory,,out-of-scope,current official list wording,none,manual-review,CPP out-of-scope=true; SAA out-of-scope=true. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
AWS Elemental MediaPackage,See official in-scope service list,false,false,not-applicable,not-applicable,missing,,out-of-scope,inspect inventory,,out-of-scope,current official list wording,none,manual-review,CPP out-of-scope=true; SAA out-of-scope=true. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
AWS Elemental MediaStore,See official in-scope service list,false,false,not-applicable,not-applicable,missing,,out-of-scope,inspect inventory,,out-of-scope,current official list wording,none,manual-review,CPP out-of-scope=true; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
AWS Elemental MediaTailor,See official in-scope service list,false,false,not-applicable,not-applicable,missing,,out-of-scope,inspect inventory,,out-of-scope,current official list wording,none,manual-review,CPP out-of-scope=true; SAA out-of-scope=true. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
AWS Fargate,See official in-scope service list,true,true,awareness,awareness,12-billing-pricing-and-support/customer-enablement/aws-recommendation-resources/01-study-guide.md,12-billing-pricing-and-support/customer-enablement/aws-recommendation-resources/01-study-guide.md; 04-compute/amazon-ec2/02-study-guide.md; 12-billing-pricing-and-support/aws-savings-plans/02-study-guide.md,complete,inspect inventory,CPP;SAA,important-supporting,current official list wording,none,12-billing-pricing-and-support/customer-enablement/aws-recommendation-resources/01-study-guide.md,CPP out-of-scope=false; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
AWS Fault Injection Simulator,See official in-scope service list,false,false,not-applicable,not-applicable,12-billing-pricing-and-support/customer-enablement/aws-recommendation-resources/01-study-guide.md,12-billing-pricing-and-support/customer-enablement/aws-recommendation-resources/01-study-guide.md; 09-security-and-compliance/aws-network-firewall/01-overview.md; 07-networking-and-content-delivery/amazon-vpc/02-security-groups.md,complete,inspect inventory,,awareness,current official list wording,none,12-billing-pricing-and-support/customer-enablement/aws-recommendation-resources/01-study-guide.md,CPP out-of-scope=false; SAA out-of-scope=true. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
AWS Firewall Manager,See official in-scope service list,true,true,awareness,awareness,07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md,07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md; 12-billing-pricing-and-support/customer-enablement/aws-recommendation-resources/01-study-guide.md; 09-security-and-compliance/aws-network-firewall/01-overview.md,complete,inspect inventory,CPP;SAA,important-supporting,current official list wording,none,07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md,CPP out-of-scope=false; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
AWS Global Accelerator,See official in-scope service list,true,true,awareness,awareness,15-comparisons-and-decision-guides/networking/01-cloudfront-vs-global-accelerator.md,15-comparisons-and-decision-guides/networking/01-cloudfront-vs-global-accelerator.md; 07-networking-and-content-delivery/amazon-route-53/01-overview.md; 07-networking-and-content-delivery/aws-global-accelerator/02-static-ip-addresses.md,complete,inspect inventory,CPP;SAA,important-supporting,current official list wording,none,15-comparisons-and-decision-guides/networking/01-cloudfront-vs-global-accelerator.md,CPP out-of-scope=false; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
AWS Glue,See official in-scope service list,true,true,awareness,awareness,04-compute/aws-batch/01-overview.md,04-compute/aws-batch/01-overview.md; 15-comparisons-and-decision-guides/analytics/01-emr-vs-redshift.md; 14-ai-ml-analytics-and-other-services/analytics/amazon-emr/01-overview.md,complete,inspect inventory,CPP;SAA,important-supporting,current official list wording,none,04-compute/aws-batch/01-overview.md,CPP out-of-scope=false; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
AWS Ground Station,See official in-scope service list,false,false,not-applicable,not-applicable,missing,,out-of-scope,inspect inventory,,out-of-scope,current official list wording,none,manual-review,CPP out-of-scope=true; SAA out-of-scope=true. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
AWS Health Dashboard,See official in-scope service list,true,true,awareness,awareness,12-billing-pricing-and-support/aws-support/02-support-plans.md,12-billing-pricing-and-support/aws-support/02-support-plans.md; 12-billing-pricing-and-support/customer-enablement/aws-recommendation-resources/01-study-guide.md; 08-serverless-and-application-integration/amazon-api-gateway/01-overview.md,complete,inspect inventory,CPP;SAA,important-supporting,current official list wording,none,12-billing-pricing-and-support/aws-support/02-support-plans.md,CPP out-of-scope=false; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
AWS IAM,See official in-scope service list,true,true,fundamental,architecture-and-design,12-billing-pricing-and-support/aws-support/02-support-plans.md,12-billing-pricing-and-support/aws-support/02-support-plans.md; 12-billing-pricing-and-support/customer-enablement/aws-recommendation-resources/01-study-guide.md; 03-identity-governance-and-organizations/aws-organizations/02-service-control-policies.md,complete,inspect inventory,CPP;SAA,critical-core,current official list wording,none,12-billing-pricing-and-support/aws-support/02-support-plans.md,CPP out-of-scope=false; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
AWS IAM Identity Center,See official in-scope service list,true,true,awareness,awareness,03-identity-governance-and-organizations/aws-organizations/02-service-control-policies.md,03-identity-governance-and-organizations/aws-organizations/02-service-control-policies.md; 09-security-and-compliance/amazon-verified-permissions/01-overview.md; 03-identity-governance-and-organizations/aws-control-tower/01-overview.md,partial,inspect inventory,CPP;SAA,important-supporting,current official list wording,audit/expand or create at target,03-identity-governance-and-organizations/aws-organizations/02-service-control-policies.md,CPP out-of-scope=false; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
AWS IQ,See official in-scope service list,false,false,not-applicable,not-applicable,missing,,out-of-scope,inspect inventory,,out-of-scope,current official list wording,none,manual-review,CPP out-of-scope=true; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
AWS Inferentia,See official in-scope service list,false,false,not-applicable,not-applicable,missing,,out-of-scope,inspect inventory,,out-of-scope,current official list wording,none,manual-review,CPP out-of-scope=false; SAA out-of-scope=true. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
AWS IoT Core,See official in-scope service list,true,false,awareness,not-applicable,15-comparisons-and-decision-guides/analytics/01-emr-vs-redshift.md,15-comparisons-and-decision-guides/analytics/01-emr-vs-redshift.md; 14-ai-ml-analytics-and-other-services/internet-of-things/aws-iot-greengrass/01-overview.md; 14-ai-ml-analytics-and-other-services/internet-of-things/aws-iot/01-overview.md,partial,inspect inventory,CPP;,awareness,current official list wording,audit/expand or create at target,15-comparisons-and-decision-guides/analytics/01-emr-vs-redshift.md,CPP out-of-scope=false; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
AWS IoT Device Defender,See official in-scope service list,false,false,not-applicable,not-applicable,14-ai-ml-analytics-and-other-services/internet-of-things/aws-iot-greengrass/01-overview.md,14-ai-ml-analytics-and-other-services/internet-of-things/aws-iot-greengrass/01-overview.md; 14-ai-ml-analytics-and-other-services/internet-of-things/aws-iot/01-overview.md; 04-compute/aws-lambda/01-overview.md,out-of-scope,inspect inventory,,out-of-scope,current official list wording,retain/label supplementary,14-ai-ml-analytics-and-other-services/internet-of-things/aws-iot-greengrass/01-overview.md,CPP out-of-scope=true; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
AWS IoT Greengrass,See official in-scope service list,false,false,not-applicable,not-applicable,14-ai-ml-analytics-and-other-services/internet-of-things/aws-iot-greengrass/01-overview.md,14-ai-ml-analytics-and-other-services/internet-of-things/aws-iot-greengrass/01-overview.md; 14-ai-ml-analytics-and-other-services/internet-of-things/aws-iot/01-overview.md; 14-ai-ml-analytics-and-other-services/README.md,out-of-scope,inspect inventory,,out-of-scope,current official list wording,retain/label supplementary,14-ai-ml-analytics-and-other-services/internet-of-things/aws-iot-greengrass/01-overview.md,CPP out-of-scope=true; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
"AWS KMS","See official in-scope service list","true","true","fundamental","architecture-and-design","13-architecture-and-design-patterns/security/01-data-protection-patterns.md","13-architecture-and-design-patterns/security/01-data-protection-patterns.md","complete","CPP;SAA","CPP;SAA","high","current official list wording","none","13-architecture-and-design-patterns/security/01-data-protection-patterns.md","Canonical Batch 6 evidence verified 2026-07-24; official service lists checked 2026-07-21."
AWS Lake Formation,See official in-scope service list,false,true,not-applicable,awareness,15-comparisons-and-decision-guides/analytics/01-emr-vs-redshift.md,15-comparisons-and-decision-guides/analytics/01-emr-vs-redshift.md; 14-ai-ml-analytics-and-other-services/analytics/amazon-emr/01-overview.md; 14-ai-ml-analytics-and-other-services/analytics/aws-glue/01-overview.md,complete,inspect inventory,SAA,awareness,current official list wording,none,15-comparisons-and-decision-guides/analytics/01-emr-vs-redshift.md,CPP out-of-scope=false; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
AWS Lambda,See official in-scope service list,true,true,fundamental,architecture-and-design,07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md,07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md; 12-billing-pricing-and-support/customer-enablement/aws-recommendation-resources/01-study-guide.md; 04-compute/amazon-ec2/02-study-guide.md,complete,inspect inventory,CPP;SAA,critical-core,current official list wording,none,07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md,CPP out-of-scope=false; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
AWS Launch Wizard,See official in-scope service list,false,false,not-applicable,not-applicable,missing,,out-of-scope,inspect inventory,,out-of-scope,current official list wording,none,manual-review,CPP out-of-scope=true; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
AWS License Manager,See official in-scope service list,true,true,awareness,awareness,03-identity-governance-and-organizations/aws-resource-access-manager/01-overview.md,03-identity-governance-and-organizations/aws-resource-access-manager/01-overview.md,mention-only,inspect inventory,CPP;SAA,important-supporting,current official list wording,audit/expand or create at target,03-identity-governance-and-organizations/aws-resource-access-manager/01-overview.md,CPP out-of-scope=false; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
AWS Managed Services,See official in-scope service list,false,false,not-applicable,not-applicable,07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md,07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md; 12-billing-pricing-and-support/aws-support/02-support-plans.md; 13-architecture-and-design-patterns/transport-layer-security/01-ssl-termination.md,complete,inspect inventory,,awareness,current official list wording,none,07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md,CPP out-of-scope=true; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
AWS Management Console,See official in-scope service list,true,true,awareness,awareness,12-billing-pricing-and-support/customer-enablement/aws-recommendation-resources/01-study-guide.md,12-billing-pricing-and-support/customer-enablement/aws-recommendation-resources/01-study-guide.md; 15-comparisons-and-decision-guides/identity-and-governance/03-users-groups-and-roles.md; 12-billing-pricing-and-support/aws-support/01-overview.md,complete,inspect inventory,CPP;SAA,important-supporting,current official list wording,none,12-billing-pricing-and-support/customer-enablement/aws-recommendation-resources/01-study-guide.md,CPP out-of-scope=false; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
AWS Marketplace,See official in-scope service list,true,false,awareness,not-applicable,12-billing-pricing-and-support/aws-support/02-support-plans.md,12-billing-pricing-and-support/aws-support/02-support-plans.md; 04-compute/amazon-ec2/02-study-guide.md; 12-billing-pricing-and-support/aws-savings-plans/02-study-guide.md,complete,inspect inventory,CPP;,awareness,current official list wording,none,12-billing-pricing-and-support/aws-support/02-support-plans.md,CPP out-of-scope=false; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
AWS Migration Hub,See official in-scope service list,true,false,awareness,not-applicable,11-migration-and-hybrid-cloud/aws-application-discovery-service/01-overview.md,11-migration-and-hybrid-cloud/aws-application-discovery-service/01-overview.md; 11-migration-and-hybrid-cloud/aws-migration-hub/01-overview.md; 13-architecture-and-design-patterns/aws-cloud-adoption-framework/01-overview.md,partial,inspect inventory,CPP;,awareness,current official list wording,audit/expand or create at target,11-migration-and-hybrid-cloud/aws-application-discovery-service/01-overview.md,CPP out-of-scope=false; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
AWS Migration Hub Refactor Spaces,See official in-scope service list,false,false,not-applicable,not-applicable,11-migration-and-hybrid-cloud/aws-migration-hub/01-overview.md,11-migration-and-hybrid-cloud/aws-migration-hub/01-overview.md; 11-migration-and-hybrid-cloud/aws-application-discovery-service/01-overview.md; 13-architecture-and-design-patterns/aws-cloud-adoption-framework/01-overview.md,out-of-scope,inspect inventory,,out-of-scope,current official list wording,retain/label supplementary,11-migration-and-hybrid-cloud/aws-migration-hub/01-overview.md,CPP out-of-scope=true; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
AWS Network Access Analyzer,See official in-scope service list,false,false,not-applicable,not-applicable,12-billing-pricing-and-support/customer-enablement/aws-recommendation-resources/01-study-guide.md,12-billing-pricing-and-support/customer-enablement/aws-recommendation-resources/01-study-guide.md; 04-compute/amazon-ec2/07-placement-groups.md; 07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md,complete,inspect inventory,,awareness,current official list wording,none,12-billing-pricing-and-support/customer-enablement/aws-recommendation-resources/01-study-guide.md,CPP out-of-scope=true; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
AWS Network Firewall,See official in-scope service list,false,true,not-applicable,awareness,07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md,07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md; 12-billing-pricing-and-support/customer-enablement/aws-recommendation-resources/01-study-guide.md; 07-networking-and-content-delivery/amazon-vpc/03-flow-logs.md,complete,inspect inventory,SAA,awareness,current official list wording,none,07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md,CPP out-of-scope=true; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
"AWS Organizations","See official in-scope service list","true","true","awareness","architecture-and-design","13-architecture-and-design-patterns/security/02-multi-account-governance.md","13-architecture-and-design-patterns/security/02-multi-account-governance.md","complete","CPP;SAA","CPP;SAA","important-supporting","current official list wording","none","13-architecture-and-design-patterns/security/02-multi-account-governance.md","Canonical Batch 6 evidence verified 2026-07-24; official service lists checked 2026-07-21."
AWS Outposts,See official in-scope service list,true,true,awareness,awareness,04-compute/amazon-ec2/07-placement-groups.md,04-compute/amazon-ec2/07-placement-groups.md; 15-comparisons-and-decision-guides/analytics/01-emr-vs-redshift.md; 15-comparisons-and-decision-guides/migration/01-datasync-vs-dms.md,complete,inspect inventory,CPP;SAA,important-supporting,current official list wording,none,04-compute/amazon-ec2/07-placement-groups.md,CPP out-of-scope=false; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
AWS Panorama,See official in-scope service list,false,false,not-applicable,not-applicable,missing,,out-of-scope,inspect inventory,,out-of-scope,current official list wording,none,manual-review,CPP out-of-scope=true; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
AWS PrivateLink,See official in-scope service list,true,true,awareness,awareness,07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md,07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md; 12-billing-pricing-and-support/aws-billing-and-cost-management/03-data-transfer-costs.md; 07-networking-and-content-delivery/amazon-vpc/04-endpoint-services.md,complete,inspect inventory,CPP;SAA,important-supporting,current official list wording,none,07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md,CPP out-of-scope=false; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
AWS Resource Access Manager,See official in-scope service list,true,true,awareness,awareness,07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md,07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md; 12-billing-pricing-and-support/aws-support/02-support-plans.md; 12-billing-pricing-and-support/customer-enablement/aws-recommendation-resources/01-study-guide.md,complete,inspect inventory,CPP;SAA,important-supporting,current official list wording,none,07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md,CPP out-of-scope=false; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
AWS RoboMaker,See official in-scope service list,false,false,not-applicable,not-applicable,missing,,out-of-scope,inspect inventory,,out-of-scope,current official list wording,none,manual-review,CPP out-of-scope=true; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
AWS Schema Conversion Tool,See official in-scope service list,true,false,awareness,not-applicable,15-comparisons-and-decision-guides/migration/01-datasync-vs-dms.md,15-comparisons-and-decision-guides/migration/01-datasync-vs-dms.md; 11-migration-and-hybrid-cloud/aws-schema-conversion-tool/01-overview.md; 11-migration-and-hybrid-cloud/aws-database-migration-service/01-overview.md,partial,inspect inventory,CPP;,awareness,current official list wording,audit/expand or create at target,15-comparisons-and-decision-guides/migration/01-datasync-vs-dms.md,CPP out-of-scope=false; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
AWS Secrets Manager,See official in-scope service list,true,true,awareness,awareness,07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md,07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md; 12-billing-pricing-and-support/customer-enablement/aws-recommendation-resources/01-study-guide.md; 15-comparisons-and-decision-guides/networking/02-vpc-connectivity-options.md,complete,inspect inventory,CPP;SAA,important-supporting,current official list wording,none,07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md,CPP out-of-scope=false; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
"AWS Security Hub","See official in-scope service list","true","true","awareness","architecture-and-design","15-comparisons-and-decision-guides/security/01-security-service-selection.md","15-comparisons-and-decision-guides/security/01-security-service-selection.md","complete","CPP;SAA","CPP;SAA","important-supporting","current official list wording","none","15-comparisons-and-decision-guides/security/01-security-service-selection.md","Canonical Batch 6 evidence verified 2026-07-24; official service lists checked 2026-07-21."
AWS Serverless Application Repository,See official in-scope service list,false,true,not-applicable,awareness,12-billing-pricing-and-support/customer-enablement/aws-recommendation-resources/01-study-guide.md,12-billing-pricing-and-support/customer-enablement/aws-recommendation-resources/01-study-guide.md; 04-compute/amazon-ec2/02-study-guide.md; 12-billing-pricing-and-support/aws-savings-plans/02-study-guide.md,complete,inspect inventory,SAA,awareness,current official list wording,none,12-billing-pricing-and-support/customer-enablement/aws-recommendation-resources/01-study-guide.md,CPP out-of-scope=false; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
AWS Service Catalog,See official in-scope service list,true,true,awareness,awareness,07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md,07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md; 04-compute/aws-batch/01-overview.md; 03-identity-governance-and-organizations/aws-control-tower/01-overview.md,complete,inspect inventory,CPP;SAA,important-supporting,current official list wording,none,07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md,CPP out-of-scope=false; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
AWS Shield,See official in-scope service list,true,true,awareness,awareness,04-compute/amazon-ec2/07-placement-groups.md,04-compute/amazon-ec2/07-placement-groups.md; 12-billing-pricing-and-support/aws-support/02-support-plans.md; 05-storage/amazon-ebs/01-overview.md,complete,inspect inventory,CPP;SAA,important-supporting,current official list wording,none,04-compute/amazon-ec2/07-placement-groups.md,CPP out-of-scope=false; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
AWS Site-to-Site VPN,See official in-scope service list,true,true,awareness,awareness,07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md,07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md; 12-billing-pricing-and-support/aws-billing-and-cost-management/03-data-transfer-costs.md; 15-comparisons-and-decision-guides/networking/02-vpc-connectivity-options.md,complete,inspect inventory,CPP;SAA,important-supporting,current official list wording,none,07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md,CPP out-of-scope=false; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
AWS Snow Family,See official in-scope service list,true,true,awareness,awareness,15-comparisons-and-decision-guides/migration/01-datasync-vs-dms.md,15-comparisons-and-decision-guides/migration/01-datasync-vs-dms.md; 15-comparisons-and-decision-guides/storage/02-storage-gateway-family.md; 15-comparisons-and-decision-guides/storage/01-file-gateway-vs-volume-gateway.md,partial,inspect inventory,CPP;SAA,important-supporting,current official list wording,audit/expand or create at target,15-comparisons-and-decision-guides/migration/01-datasync-vs-dms.md,CPP out-of-scope=false; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
AWS Step Functions,See official in-scope service list,true,true,awareness,architecture-and-design,08-serverless-and-application-integration/aws-step-functions/01-overview.md,08-serverless-and-application-integration/aws-step-functions/01-overview.md,complete,CPP;SAA,CPP;SAA,important-supporting,current official list wording,none,08-serverless-and-application-integration/aws-step-functions/01-overview.md,Canonical lesson created and validated in Phase 6 Batch 5; official lists checked 2026-07-21.
AWS Storage Gateway,See official in-scope service list,true,true,awareness,awareness,05-storage/amazon-fsx-for-lustre/01-overview.md,05-storage/amazon-fsx-for-lustre/01-overview.md; 12-billing-pricing-and-support/aws-billing-and-cost-management/02-study-guide.md; 15-comparisons-and-decision-guides/migration/01-datasync-vs-dms.md,complete,inspect inventory,CPP;SAA,important-supporting,current official list wording,none,05-storage/amazon-fsx-for-lustre/01-overview.md,CPP out-of-scope=false; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
AWS Support,See official in-scope service list,true,false,awareness,not-applicable,04-compute/amazon-ec2/07-placement-groups.md,04-compute/amazon-ec2/07-placement-groups.md; 07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md; 12-billing-pricing-and-support/aws-support/02-support-plans.md,complete,inspect inventory,CPP;,awareness,current official list wording,none,04-compute/amazon-ec2/07-placement-groups.md,CPP out-of-scope=false; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
"AWS Systems Manager","See official in-scope service list","true","true","awareness","architecture-and-design","10-monitoring-management-and-deployment/aws-systems-manager/01-overview.md","10-monitoring-management-and-deployment/aws-systems-manager/01-overview.md","complete","CPP;SAA","CPP;SAA","important-supporting","current official list wording","none","10-monitoring-management-and-deployment/aws-systems-manager/01-overview.md","Canonical Batch 6 evidence verified 2026-07-24; official service lists checked 2026-07-21."
AWS Tools and SDKs,See official in-scope service list,false,false,not-applicable,not-applicable,missing,,out-of-scope,inspect inventory,,out-of-scope,current official list wording,none,manual-review,CPP out-of-scope=false; SAA out-of-scope=true. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
AWS Transfer Family,See official in-scope service list,false,true,not-applicable,awareness,04-compute/amazon-ec2/07-placement-groups.md,04-compute/amazon-ec2/07-placement-groups.md; 07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md; 15-comparisons-and-decision-guides/migration/01-datasync-vs-dms.md,complete,inspect inventory,SAA,awareness,current official list wording,none,04-compute/amazon-ec2/07-placement-groups.md,CPP out-of-scope=true; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
AWS Transit Gateway,See official in-scope service list,true,true,awareness,awareness,07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md,07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md; 05-storage/amazon-fsx-for-lustre/01-overview.md; 12-billing-pricing-and-support/aws-billing-and-cost-management/03-data-transfer-costs.md,complete,inspect inventory,CPP;SAA,important-supporting,current official list wording,none,07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md,CPP out-of-scope=false; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
AWS Trusted Advisor,See official in-scope service list,true,true,awareness,awareness,12-billing-pricing-and-support/aws-support/02-support-plans.md,12-billing-pricing-and-support/aws-support/02-support-plans.md; 12-billing-pricing-and-support/customer-enablement/aws-recommendation-resources/01-study-guide.md; 12-billing-pricing-and-support/aws-savings-plans/02-study-guide.md,complete,inspect inventory,CPP;SAA,important-supporting,current official list wording,none,12-billing-pricing-and-support/aws-support/02-support-plans.md,CPP out-of-scope=false; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
AWS VPN,See official in-scope service list,true,false,awareness,not-applicable,07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md,07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md; 12-billing-pricing-and-support/aws-billing-and-cost-management/03-data-transfer-costs.md; 15-comparisons-and-decision-guides/networking/02-vpc-connectivity-options.md,complete,inspect inventory,CPP;,awareness,current official list wording,none,07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md,CPP out-of-scope=false; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
AWS WAF,See official in-scope service list,true,true,awareness,awareness,09-security-and-compliance/aws-security-hub/01-overview.md,09-security-and-compliance/aws-security-hub/01-overview.md; 08-serverless-and-application-integration/amazon-api-gateway/01-overview.md; 15-comparisons-and-decision-guides/networking/01-cloudfront-vs-global-accelerator.md,complete,inspect inventory,CPP;SAA,important-supporting,current official list wording,none,09-security-and-compliance/aws-security-hub/01-overview.md,CPP out-of-scope=false; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
AWS Wavelength,See official in-scope service list,false,true,not-applicable,awareness,11-migration-and-hybrid-cloud/aws-outposts/01-overview.md,11-migration-and-hybrid-cloud/aws-outposts/01-overview.md; 02-global-infrastructure/aws-local-zones/01-overview.md; 02-global-infrastructure/aws-wavelength/01-overview.md,mention-only,inspect inventory,SAA,awareness,current official list wording,audit/expand or create at target,11-migration-and-hybrid-cloud/aws-outposts/01-overview.md,CPP out-of-scope=true; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
AWS Well-Architected Tool,See official in-scope service list,true,true,awareness,awareness,12-billing-pricing-and-support/aws-support/02-support-plans.md,12-billing-pricing-and-support/aws-support/02-support-plans.md; 12-billing-pricing-and-support/customer-enablement/aws-recommendation-resources/01-study-guide.md; 12-billing-pricing-and-support/customer-enablement/aws-prescriptive-guidance/01-overview.md,complete,inspect inventory,CPP;SAA,important-supporting,current official list wording,none,12-billing-pricing-and-support/aws-support/02-support-plans.md,CPP out-of-scope=false; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
