current_path,proposed_path,action,certification,content_type,duplicate_group,confidence,notes
"a) Service Explanations/AWS IAM User .md","03-identity-governance-and-organizations/aws-iam/02-users.md","rename-and-move",both,"service explanation",,high,"topic=Identity, governance, and organizations; service_or_concept=aws-iam; quality=canonical candidate; related=a) Service Explanations/Administrator Access.md; a) Service Explanations/AWS Account Root User .md; a) Service Explanations/AWS IAM (Identity and Access Management).md; a) Service Explanations/AWS IAM (ReadOnlyAccess).md; a) Service Explanations/AWS IAM Access Analyzer .md"
"a) Service Explanations/AWS IoT Greengrass.md","14-ai-ml-analytics-and-other-services/aws-iot-greengrass/01-overview.md","rename-and-move",CPP,"service explanation",,high,"topic=AI, ML, analytics, and other services; service_or_concept=aws-iot-greengrass; quality=canonical candidate; no close overlap identified"
"a) Service Explanations/AWS IoT.md","14-ai-ml-analytics-and-other-services/aws-iot/01-overview.md","rename-and-move",CPP,"service explanation",,high,"topic=AI, ML, analytics, and other services; service_or_concept=aws-iot; quality=canonical candidate; no close overlap identified"
"a) Service Explanations/AWS KMS (AWS Key Management Service).md","09-security-and-compliance/aws-kms/01-overview.md","merge-later",both,"service explanation",DG-07-kms,high,"topic=Security and compliance; service_or_concept=aws-kms; quality=duplicate candidate; related=a) Service Explanations/AWS KMS (Key Management Service) Claude version .md; a) Service Explanations/AWS KMS (Key Management Service).md"
"a) Service Explanations/AWS KMS (Key Management Service) Claude version .md","09-security-and-compliance/aws-kms/01-overview.md","merge-later",both,"service explanation",DG-07-kms,high,"topic=Security and compliance; service_or_concept=aws-kms; quality=duplicate candidate; related=a) Service Explanations/AWS KMS (AWS Key Management Service).md; a) Service Explanations/AWS KMS (Key Management Service).md"
"a) Service Explanations/AWS KMS (Key Management Service).md","09-security-and-compliance/aws-kms/01-overview.md","rename-and-move",both,"service explanation",DG-07-kms,high,"topic=Security and compliance; service_or_concept=aws-kms; quality=canonical candidate; related=a) Service Explanations/AWS KMS (AWS Key Management Service).md; a) Service Explanations/AWS KMS (Key Management Service) Claude version .md"
"a) Service Explanations/AWS Knowledge Center.md","14-ai-ml-analytics-and-other-services/aws-repost-knowledge-center/01-overview.md","manual-review",CPP,"service explanation",,high,"topic=AI, ML, analytics, and other services; service_or_concept=aws-repost-knowledge-center; quality=obsolete-name candidate; no close overlap identified"
"a) Service Explanations/AWS Lambda.md","08-serverless-and-application-integration/aws-lambda/01-overview.md","rename-and-move",both,"service explanation",,high,"topic=Serverless and application integration; service_or_concept=aws-lambda; quality=canonical candidate; no close overlap identified"
"a) Service Explanations/AWS Local Zones.md","02-global-infrastructure/aws-local-zones/01-overview.md","rename-and-move",CPP,"service explanation",,high,"topic=Global infrastructure; service_or_concept=aws-local-zones; quality=canonical candidate; no close overlap identified"
"a) Service Explanations/AWS Managed Services (AMS).md","10-monitoring-management-and-deployment/aws-managed-services/01-overview.md","rename-and-move",CPP,"service explanation",,high,"topic=Monitoring, management, and deployment; service_or_concept=aws-managed-services; quality=canonical candidate; no close overlap identified"
"a) Service Explanations/AWS Migration Hub.md","11-migration-and-hybrid-cloud/aws-migration-hub/01-overview.md","rename-and-move",CPP,"service explanation",,high,"topic=Migration and hybrid cloud; service_or_concept=aws-migration-hub; quality=canonical candidate; no close overlap identified"
"a) Service Explanations/AWS Organizations .md","03-identity-governance-and-organizations/aws-organizations/01-overview.md","rename-and-move",both,"service explanation",,high,"topic=Identity, governance, and organizations; service_or_concept=aws-organizations; quality=canonical candidate; related=a) Service Explanations/Service Control Policy (SCP).md"
"a) Service Explanations/AWS Outposts.md","11-migration-and-hybrid-cloud/aws-outposts/01-overview.md","rename-and-move",CPP,"service explanation",,high,"topic=Migration and hybrid cloud; service_or_concept=aws-outposts; quality=canonical candidate; no close overlap identified"
"a) Service Explanations/AWS Partner Network (APN).md","14-ai-ml-analytics-and-other-services/aws-partner-network/01-overview.md","rename-and-move",CPP,"service explanation",,high,"topic=AI, ML, analytics, and other services; service_or_concept=aws-partner-network; quality=canonical candidate; no close overlap identified"
"a) Service Explanations/AWS Personal Health Dashboard (AWS Health).md","14-ai-ml-analytics-and-other-services/aws-health/01-overview.md","manual-review",CPP,"service explanation",,high,"topic=AI, ML, analytics, and other services; service_or_concept=aws-health; quality=obsolete-name candidate; no close overlap identified"
"a) Service Explanations/AWS Pricing Calculator .md","12-billing-pricing-and-support/aws-pricing-calculator/01-overview.md","rename-and-move",CPP,"pricing topic",,high,"topic=Billing, pricing, and support; service_or_concept=aws-pricing-calculator; quality=canonical candidate; no close overlap identified"
"a) Service Explanations/AWS Professional Services Consulting Engagement Team.md","14-ai-ml-analytics-and-other-services/aws-professional-services/01-overview.md","manual-review",CPP,"service explanation",,medium,"topic=AI, ML, analytics, and other services; service_or_concept=aws-professional-services; quality=requires manual review; no close overlap identified"
"a) Service Explanations/AWS rePost.md","14-ai-ml-analytics-and-other-services/aws-repost/01-overview.md","rename-and-move",CPP,"service explanation",,high,"topic=AI, ML, analytics, and other services; service_or_concept=aws-repost; quality=canonical candidate; no close overlap identified"
"a) Service Explanations/AWS Resource Access Manager (AWS RAM).md","03-identity-governance-and-organizations/aws-resource-access-manager/01-overview.md","rename-and-move",CPP,"service explanation",,high,"topic=Identity, governance, and organizations; service_or_concept=aws-resource-access-manager; quality=canonical candidate; no close overlap identified"
"a) Service Explanations/AWS Schema Conversion Tool (AWS SCT).md","14-ai-ml-analytics-and-other-services/aws-schema-conversion-tool-aws-sct/01-overview.md","rename-and-move",CPP,"service explanation",,high,"topic=AI, ML, analytics, and other services; service_or_concept=aws-schema-conversion-tool-aws-sct; quality=canonical candidate; no close overlap identified"
"a) Service Explanations/AWS Secrets Manager.md","09-security-and-compliance/aws-secrets-manager/01-overview.md","rename-and-move",CPP,"service explanation",,high,"topic=Security and compliance; service_or_concept=aws-secrets-manager; quality=canonical candidate; no close overlap identified"
"a) Service Explanations/AWS Security and Compliance Center.md","09-security-and-compliance/aws-security-and-compliance-reference/01-overview.md","manual-review",CPP,"service explanation",,medium,"topic=Security and compliance; service_or_concept=aws-security-and-compliance-reference; quality=requires manual review; related=a) Service Explanations/AWS Security Hub.md; a) Service Explanations/AWS Compliance Programs.md"
"a) Service Explanations/AWS Security Hub.md","09-security-and-compliance/aws-security-hub/01-overview.md","rename-and-move",CPP,"service explanation",,high,"topic=Security and compliance; service_or_concept=aws-security-hub; quality=canonical candidate; no close overlap identified"
"a) Service Explanations/AWS Service Catalog.md","03-identity-governance-and-organizations/aws-service-catalog/01-overview.md","rename-and-move",CPP,"service explanation",,high,"topic=Identity, governance, and organizations; service_or_concept=aws-service-catalog; quality=canonical candidate; no close overlap identified"
"a) Service Explanations/AWS Service Quotas V2 .md","12-billing-pricing-and-support/aws-service-quotas/01-overview.md","rename-and-move",CPP,"service explanation","DG-08-service-quotas",high,"topic=Billing, pricing, and support; service_or_concept=aws-service-quotas; quality=canonical candidate; related=a) Service Explanations/AWS Service Quotas.md"
"a) Service Explanations/AWS Service Quotas.md","12-billing-pricing-and-support/aws-service-quotas/01-overview.md","merge-later",CPP,"service explanation","DG-08-service-quotas",high,"topic=Billing, pricing, and support; service_or_concept=aws-service-quotas; quality=duplicate candidate; related=a) Service Explanations/AWS Service Quotas V2 .md"
"a) Service Explanations/AWS Shield.md","09-security-and-compliance/aws-shield/01-overview.md","rename-and-move",both,"service explanation",,high,"topic=Security and compliance; service_or_concept=aws-shield; quality=canonical candidate; no close overlap identified"
"a) Service Explanations/AWS Snowball Edge.md","11-migration-and-hybrid-cloud/aws-snowball-edge/01-overview.md","rename-and-move",CPP,"service explanation",,high,"topic=Migration and hybrid cloud; service_or_concept=aws-snowball-edge; quality=canonical candidate; no close overlap identified"
"a) Service Explanations/AWS Support Center.md","12-billing-pricing-and-support/aws-support/01-overview.md","rename-and-move",CPP,"service explanation",,high,"topic=Billing, pricing, and support; service_or_concept=aws-support; quality=canonical candidate; related=a) Service Explanations/AWS Support Plans.md; c) Keywords services/AWS Support Plans — Complete Study Guide.md"
"a) Service Explanations/AWS Support Plans.md","12-billing-pricing-and-support/aws-support/02-study-guide.md","merge-later",CPP,"pricing topic","DG-18-support-plans",medium,"topic=Billing, pricing, and support; service_or_concept=aws-support; quality=duplicate candidate; related=c) Keywords services/AWS Support Plans — Complete Study Guide.md"
"a) Service Explanations/AWS Systems Manager Session Manager.md","08-serverless-and-application-integration/amazon-ses/02-session-manager.md","rename-and-move",CPP,"feature explanation",,high,"topic=Serverless and application integration; service_or_concept=amazon-ses; quality=useful supplementary content; related=a) Service Explanations/Amazon Simple Email Service (Amazon SES).md"
"a) Service Explanations/AWS Systems Manager.md","10-monitoring-management-and-deployment/aws-systems-manager/01-overview.md","rename-and-move",CPP,"service explanation",,high,"topic=Monitoring, management, and deployment; service_or_concept=aws-systems-manager; quality=canonical candidate; no close overlap identified"
"a) Service Explanations/AWS Trust & Safety Team.md","09-security-and-compliance/aws-trust-and-safety/01-overview.md","manual-review",CPP,"service explanation",,medium,"topic=Security and compliance; service_or_concept=aws-trust-and-safety; quality=requires manual review; related=a) Service Explanations/AWS Support Center.md"
"a) Service Explanations/AWS Trusted Advisor .md","12-billing-pricing-and-support/aws-trusted-advisor/01-overview.md","rename-and-move",CPP,"service explanation",,high,"topic=Billing, pricing, and support; service_or_concept=aws-trusted-advisor; quality=canonical candidate; no close overlap identified"
"a) Service Explanations/AWS WAF.md","09-security-and-compliance/aws-waf/01-overview.md","rename-and-move",both,"service explanation",,high,"topic=Security and compliance; service_or_concept=aws-waf; quality=canonical candidate; no close overlap identified"
"a) Service Explanations/AWS Wavelength.md","02-global-infrastructure/aws-wavelength/01-overview.md","rename-and-move",CPP,"service explanation",,high,"topic=Global infrastructure; service_or_concept=aws-wavelength; quality=canonical candidate; no close overlap identified"
"a) Service Explanations/AWS Well-Architected Framework.md","13-architecture-and-design-patterns/aws-well-architected-framework/01-overview.md","rename-and-move",both,"architecture pattern",,high,"topic=Architecture and design patterns; service_or_concept=aws-well-architected-framework; quality=canonical candidate; no close overlap identified"
"a) Service Explanations/AWS X-Ray.md","10-monitoring-management-and-deployment/aws-x-ray/01-overview.md","rename-and-move",CPP,"service explanation",,high,"topic=Monitoring, management, and deployment; service_or_concept=aws-x-ray; quality=canonical candidate; no close overlap identified"
"a) Service Explanations/copy paste ptompt Explanations .txt","docs/templates/aws-study-prompts/01-service-explanation-prompt.md","manual-review","uncertain","prompt/template",,medium,"topic=Authoring templates; service_or_concept=aws-study-prompts; quality=requires manual review; related=b) Service Comparisons/Comparison copy paste prompt.txt; COPY PASTE Prompt .txt; COPY PASTE PROMPT OF CLAUDE (BOTH CONTENT AND STYLE ).txt"
"a) Service Explanations/S3 Storage Classes.md","05-storage/amazon-s3/02-storage-classes.md","rename-and-move",both,"feature explanation",,high,"topic=Storage; service_or_concept=amazon-s3; quality=useful supplementary content; related=a) Service Explanations/Amazon S3 (Claude version).md; a) Service Explanations/Amazon S3 v1 .md; a) Service Explanations/Amazon S3 v2 .md; c) Keywords services/Amazon S3 Lifecycle Policy.md"
"a) Service Explanations/Service Control Policy (SCP).md","03-identity-governance-and-organizations/aws-organizations/02-service-control-policies.md","rename-and-move",CPP,policy,,high,"topic=Identity, governance, and organizations; service_or_concept=aws-organizations; quality=canonical candidate; related=a) Service Explanations/AWS Organizations .md"
"a) Service Explanations/VPC Endpoint Services.md","07-networking-and-content-delivery/amazon-vpc/04-endpoint-services.md","rename-and-move",both,"service explanation",,high,"topic=Networking and content delivery; service_or_concept=amazon-vpc; quality=canonical candidate; related=a) Service Explanations/VPC Peering .md; c) Keywords services/AWS Networking – Complete Cloud Practitioner Study Guide.md; e) AWS Claude Network & Gateways/Amazon VPC Security Groups .md; e) AWS Claude Network & Gateways/Customer Gateway (CGW).md; e) AWS Claude Network & Gateways/NAT Gateway.md"
"a) Service Explanations/VPC Peering .md","07-networking-and-content-delivery/amazon-vpc/05-vpc-peering.md","rename-and-move",both,"service explanation",,high,"topic=Networking and content delivery; service_or_concept=amazon-vpc; quality=canonical candidate; related=a) Service Explanations/VPC Endpoint Services.md; c) Keywords services/AWS Networking – Complete Cloud Practitioner Study Guide.md; e) AWS Claude Network & Gateways/Amazon VPC Security Groups .md; e) AWS Claude Network & Gateways/Customer Gateway (CGW).md; e) AWS Claude Network & Gateways/NAT Gateway.md"
"b) Service Comparisons/Amazon CloudFront vs AWS Global Accelerator.md","15-comparisons-and-decision-guides/cross-service/01-amazon-cloudfront-vs-aws-global-accelerator.md","rename-and-move",both,"comparison",,high,"topic=Comparisons and decision guides; service_or_concept=cross-service; quality=canonical candidate; related=b) Service Comparisons/Amazon EMR vs Amazon Redshift .md; b) Service Comparisons/AWS Account Root User vs AWS IAM .md; b) Service Comparisons/AWS DataSync vs AWS Database Migration Service (AWS DMS).md; b) Service Comparisons/AWS File Gateway vs AWS Volume Gateway (Cached).md; b) Service Comparisons/AWS Organizations vs AWS Control Tower.md"
"b) Service Comparisons/Amazon EMR vs Amazon Redshift .md","15-comparisons-and-decision-guides/cross-service/01-amazon-emr-vs-amazon-redshift.md","rename-and-move",CPP,"comparison",,high,"topic=Comparisons and decision guides; service_or_concept=cross-service; quality=canonical candidate; related=b) Service Comparisons/Amazon CloudFront vs AWS Global Accelerator.md; b) Service Comparisons/AWS Account Root User vs AWS IAM .md; b) Service Comparisons/AWS DataSync vs AWS Database Migration Service (AWS DMS).md; b) Service Comparisons/AWS File Gateway vs AWS Volume Gateway (Cached).md; b) Service Comparisons/AWS Organizations vs AWS Control Tower.md"
"b) Service Comparisons/AWS Account Root User vs AWS IAM .md","15-comparisons-and-decision-guides/cross-service/01-aws-account-root-user-vs-aws-iam.md","rename-and-move",both,"comparison",,high,"topic=Comparisons and decision guides; service_or_concept=cross-service; quality=canonical candidate; related=b) Service Comparisons/Amazon CloudFront vs AWS Global Accelerator.md; b) Service Comparisons/Amazon EMR vs Amazon Redshift .md; b) Service Comparisons/AWS DataSync vs AWS Database Migration Service (AWS DMS).md; b) Service Comparisons/AWS File Gateway vs AWS Volume Gateway (Cached).md; b) Service Comparisons/AWS Organizations vs AWS Control Tower.md"
"b) Service Comparisons/AWS DataSync vs AWS Database Migration Service (AWS DMS).md","15-comparisons-and-decision-guides/cross-service/01-aws-datasync-vs-aws-database-migration-service-aws-dms.md","rename-and-move",both,"comparison",,high,"topic=Comparisons and decision guides; service_or_concept=cross-service; quality=canonical candidate; related=b) Service Comparisons/Amazon CloudFront vs AWS Global Accelerator.md; b) Service Comparisons/Amazon EMR vs Amazon Redshift .md; b) Service Comparisons/AWS Account Root User vs AWS IAM .md; b) Service Comparisons/AWS File Gateway vs AWS Volume Gateway (Cached).md; b) Service Comparisons/AWS Organizations vs AWS Control Tower.md"
"b) Service Comparisons/AWS File Gateway vs AWS Volume Gateway (Cached).md","15-comparisons-and-decision-guides/cross-service/01-aws-file-gateway-vs-aws-volume-gateway-cached.md","rename-and-move",CPP,"comparison",,high,"topic=Comparisons and decision guides; service_or_concept=cross-service; quality=canonical candidate; related=b) Service Comparisons/Amazon CloudFront vs AWS Global Accelerator.md; b) Service Comparisons/Amazon EMR vs Amazon Redshift .md; b) Service Comparisons/AWS Account Root User vs AWS IAM .md; b) Service Comparisons/AWS DataSync vs AWS Database Migration Service (AWS DMS).md; b) Service Comparisons/AWS Organizations vs AWS Control Tower.md"
"b) Service Comparisons/AWS Organizations vs AWS Control Tower.md","15-comparisons-and-decision-guides/cross-service/01-aws-organizations-vs-aws-control-tower.md","rename-and-move",both,"comparison",,high,"topic=Comparisons and decision guides; service_or_concept=cross-service; quality=canonical candidate; related=b) Service Comparisons/Amazon CloudFront vs AWS Global Accelerator.md; b) Service Comparisons/Amazon EMR vs Amazon Redshift .md; b) Service Comparisons/AWS Account Root User vs AWS IAM .md; b) Service Comparisons/AWS DataSync vs AWS Database Migration Service (AWS DMS).md; b) Service Comparisons/AWS File Gateway vs AWS Volume Gateway (Cached).md"
"b) Service Comparisons/AWS Snowball Edge vs AWS Outposts.md","15-comparisons-and-decision-guides/cross-service/01-aws-snowball-edge-vs-aws-outposts.md","rename-and-move",CPP,"comparison",,high,"topic=Comparisons and decision guides; service_or_concept=cross-service; quality=canonical candidate; related=b) Service Comparisons/Amazon CloudFront vs AWS Global Accelerator.md; b) Service Comparisons/Amazon EMR vs Amazon Redshift .md; b) Service Comparisons/AWS Account Root User vs AWS IAM .md; b) Service Comparisons/AWS DataSync vs AWS Database Migration Service (AWS DMS).md; b) Service Comparisons/AWS File Gateway vs AWS Volume Gateway (Cached).md"
"b) Service Comparisons/Comparison copy paste prompt.txt","docs/templates/aws-study-prompts/02-service-comparison-prompt.md","manual-review","uncertain","prompt/template",,medium,"topic=Authoring templates; service_or_concept=aws-study-prompts; quality=requires manual review; related=a) Service Explanations/copy paste ptompt Explanations .txt; COPY PASTE Prompt .txt; COPY PASTE PROMPT OF CLAUDE (BOTH CONTENT AND STYLE ).txt"
"b) Service Comparisons/IAM Role vs IAM Group vs IAM User.md","15-comparisons-and-decision-guides/cross-service/01-iam-role-vs-iam-group-vs-iam-user.md","rename-and-move",both,"comparison",,high,"topic=Comparisons and decision guides; service_or_concept=cross-service; quality=canonical candidate; related=b) Service Comparisons/Amazon CloudFront vs AWS Global Accelerator.md; b) Service Comparisons/Amazon EMR vs Amazon Redshift .md; b) Service Comparisons/AWS Account Root User vs AWS IAM .md; b) Service Comparisons/AWS DataSync vs AWS Database Migration Service (AWS DMS).md; b) Service Comparisons/AWS File Gateway vs AWS Volume Gateway (Cached).md"
"b) Service Comparisons/VPC Endpoint vs VPC Peering vs AWS Transit Gateway .md","15-comparisons-and-decision-guides/cross-service/01-vpc-endpoint-vs-vpc-peering-vs-aws-transit-gateway.md","rename-and-move",both,"comparison",,high,"topic=Comparisons and decision guides; service_or_concept=cross-service; quality=canonical candidate; related=b) Service Comparisons/Amazon CloudFront vs AWS Global Accelerator.md; b) Service Comparisons/Amazon EMR vs Amazon Redshift .md; b) Service Comparisons/AWS Account Root User vs AWS IAM .md; b) Service Comparisons/AWS DataSync vs AWS Database Migration Service (AWS DMS).md; b) Service Comparisons/AWS File Gateway vs AWS Volume Gateway (Cached).md"
"c) Keywords services/Amazon EC2 Purchasing & Billing Options.md","04-compute/amazon-ec2/02-study-guide.md","rename-and-move",both,exam guide,,high,"topic=Compute; service_or_concept=amazon-ec2; quality=canonical candidate; related=a) Service Explanations/Amazon EC2 .md; a) Service Explanations/Amazon EC2 Instance Connect .md; a) Service Explanations/Amazon EC2 Instance Store.md; a) Service Explanations/Amazon EC2 Key Pairs .md; d) Tools & Policies/EC2 Pricing Models (Reserved Instances).md"
"c) Keywords services/Amazon S3 Lifecycle Policy.md","05-storage/amazon-s3/03-lifecycle-policies.md","rename-and-move",both,policy,,high,"topic=Storage; service_or_concept=amazon-s3; quality=useful supplementary content; related=a) Service Explanations/Amazon S3 (Claude version).md; a) Service Explanations/Amazon S3 v1 .md; a) Service Explanations/Amazon S3 v2 .md; a) Service Explanations/S3 Storage Classes.md"
"c) Keywords services/AWS Cloud Practitioner — Fixed vs Variable Costs.md","12-billing-pricing-and-support/aws-billing-and-cost-management/02-study-guide.md","rename-and-move",CPP,exam guide,,high,"topic=Billing, pricing, and support; service_or_concept=aws-billing-and-cost-management; quality=canonical candidate; related=a) Service Explanations/AWS Billing and Cost Management.md; d) Tools & Policies/Rightsizing on AWS.txt; e) AWS Claude Network & Gateways/AWS Charging Patterns and Data Transfer Costs.md"
"c) Keywords services/AWS Documentation & Guidance Services.md","14-ai-ml-analytics-and-other-services/aws-guidance/02-study-guide.md","rename-and-move",CPP,"service explanation",,high,"topic=AI, ML, analytics, and other services; service_or_concept=aws-guidance; quality=canonical candidate; no close overlap identified"
"c) Keywords services/AWS Networking – Complete Cloud Practitioner Study Guide.md","07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md","rename-and-move",CPP,exam guide,,high,"topic=Networking and content delivery; service_or_concept=networking-guide; quality=canonical candidate; related=a) Service Explanations/VPC Endpoint Services.md; a) Service Explanations/VPC Peering .md; e) AWS Claude Network & Gateways/Amazon VPC Security Groups .md; e) AWS Claude Network & Gateways/Customer Gateway (CGW).md; e) AWS Claude Network & Gateways/NAT Gateway.md"
"c) Keywords services/AWS Recommendation Services — Complete Study Guide.md","14-ai-ml-analytics-and-other-services/aws-recommendation-services-complete-study-guide/02-study-guide.md","rename-and-move",CPP,exam guide,,high,"topic=AI, ML, analytics, and other services; service_or_concept=aws-recommendation-services-complete-study-guide; quality=canonical candidate; no close overlap identified"
"c) Keywords services/AWS Savings Plans — Complete Study Guide.md","12-billing-pricing-and-support/aws-savings-plans/02-study-guide.md","rename-and-move",CPP,exam guide,,high,"topic=Billing, pricing, and support; service_or_concept=aws-savings-plans; quality=canonical candidate; no close overlap identified"
"c) Keywords services/AWS Support Plans — Complete Study Guide.md","12-billing-pricing-and-support/aws-support/02-study-guide.md","rename-and-move",CPP,exam guide,"DG-18-support-plans",medium,"topic=Billing, pricing, and support; service_or_concept=aws-support; quality=canonical candidate; related=a) Service Explanations/AWS Support Plans.md"
"COPY PASTE Prompt .txt","docs/templates/aws-study-prompts/03-saa-study-note-prompt.md","manual-review","uncertain","prompt/template",,medium,"topic=Authoring templates; service_or_concept=aws-study-prompts; quality=requires manual review; related=a) Service Explanations/copy paste ptompt Explanations .txt; b) Service Comparisons/Comparison copy paste prompt.txt; COPY PASTE PROMPT OF CLAUDE (BOTH CONTENT AND STYLE ).txt"
COPY PASTE PROMPT OF CLAUDE (BOTH CONTENT AND STYLE ).txt,"docs/templates/aws-study-prompts/04-latex-study-document-prompt.md","manual-review","uncertain","prompt/template",,medium,"topic=Authoring templates; service_or_concept=aws-study-prompts; quality=requires manual review; related=a) Service Explanations/copy paste ptompt Explanations .txt; b) Service Comparisons/Comparison copy paste prompt.txt; COPY PASTE Prompt .txt"
"d) Tools & Policies/AWS Customer Managed Policies (Claude version).txt","03-identity-governance-and-organizations/aws-iam/05-customer-managed-policies.md","rename-and-move",CPP,"service explanation","DG-17-customer-managed-policies",high,"topic=Identity, governance, and organizations; service_or_concept=aws-iam; quality=canonical candidate; related=a) Service Explanations/AWS Customer Managed Policies.md"
"d) Tools & Policies/AWS Prescriptive Guidance.md","14-ai-ml-analytics-and-other-services/aws-prescriptive-guidance/01-overview.md","rename-and-move",CPP,"service explanation",,high,"topic=AI, ML, analytics, and other services; service_or_concept=aws-prescriptive-guidance; quality=canonical candidate; no close overlap identified"
"d) Tools & Policies/EC2 Pricing Models (Reserved Instances).md","04-compute/amazon-ec2/03-reserved-instances.md","rename-and-move",both,"pricing topic",,high,"topic=Compute; service_or_concept=amazon-ec2; quality=canonical candidate; related=a) Service Explanations/Amazon EC2 .md; a) Service Explanations/Amazon EC2 Instance Connect .md; a) Service Explanations/Amazon EC2 Instance Store.md; a) Service Explanations/Amazon EC2 Key Pairs .md; c) Keywords services/Amazon EC2 Purchasing & Billing Options.md"
"d) Tools & Policies/IAM Inline Policy.md","03-identity-governance-and-organizations/aws-iam/06-inline-policies.md","rename-and-move",both,policy,,high,"topic=Identity, governance, and organizations; service_or_concept=aws-iam; quality=canonical candidate; related=a) Service Explanations/Administrator Access.md; a) Service Explanations/AWS Account Root User .md; a) Service Explanations/AWS IAM (Identity and Access Management).md; a) Service Explanations/AWS IAM (ReadOnlyAccess).md; a) Service Explanations/AWS IAM Access Analyzer .md"
"d) Tools & Policies/Rightsizing on AWS.txt","12-billing-pricing-and-support/aws-billing-and-cost-management/04-rightsizing.md","rename-and-move",CPP,"service explanation",,high,"topic=Billing, pricing, and support; service_or_concept=aws-billing-and-cost-management; quality=canonical candidate; related=a) Service Explanations/AWS Billing and Cost Management.md; c) Keywords services/AWS Cloud Practitioner — Fixed vs Variable Costs.md; e) AWS Claude Network & Gateways/AWS Charging Patterns and Data Transfer Costs.md"
"d) Tools & Policies/Target Tracking Scaling Policy.md","13-architecture-and-design-patterns/amazon-ec2-auto-scaling/03-target-tracking-scaling.md","rename-and-move",CPP,policy,,high,"topic=Architecture and design patterns; service_or_concept=amazon-ec2-auto-scaling; quality=canonical candidate; no close overlap identified"
"e) AWS Claude Network & Gateways/Amazon VPC Security Groups .md","07-networking-and-content-delivery/amazon-vpc/02-security-groups.md","rename-and-move",both,"feature explanation",,high,"topic=Networking and content delivery; service_or_concept=amazon-vpc; quality=canonical candidate; related=a) Service Explanations/VPC Endpoint Services.md; a) Service Explanations/VPC Peering .md; c) Keywords services/AWS Networking – Complete Cloud Practitioner Study Guide.md; e) AWS Claude Network & Gateways/Customer Gateway (CGW).md; e) AWS Claude Network & Gateways/NAT Gateway.md"
"e) AWS Claude Network & Gateways/AWS Charging Patterns and Data Transfer Costs.md","12-billing-pricing-and-support/aws-billing-and-cost-management/03-data-transfer-costs.md","rename-and-move",CPP,"pricing topic",,high,"topic=Billing, pricing, and support; service_or_concept=aws-billing-and-cost-management; quality=canonical candidate; related=a) Service Explanations/AWS Billing and Cost Management.md; c) Keywords services/AWS Cloud Practitioner — Fixed vs Variable Costs.md; d) Tools & Policies/Rightsizing on AWS.txt"
"e) AWS Claude Network & Gateways/AWS File Gateway.md","11-migration-and-hybrid-cloud/aws-storage-gateway/02-file-gateway.md","rename-and-move",CPP,"service explanation",,high,"topic=Migration and hybrid cloud; service_or_concept=aws-storage-gateway; quality=canonical candidate; related=e) AWS Claude Network & Gateways/AWS Storage Gateway .md; e) AWS Claude Network & Gateways/AWS Storage Gateway vs AWS File Gateway.md; e) AWS Claude Network & Gateways/AWS Tape Gateway.md; e) AWS Claude Network & Gateways/AWS Tape Gateway(Claude version) .md; e) AWS Claude Network & Gateways/AWS Volume Gateway (Cached Mode) Claude version .md"
"e) AWS Claude Network & Gateways/AWS Network Firewall.md","09-security-and-compliance/aws-network-firewall/01-overview.md","rename-and-move",CPP,"service explanation",,high,"topic=Security and compliance; service_or_concept=aws-network-firewall; quality=canonical candidate; no close overlap identified"
"e) AWS Claude Network & Gateways/AWS Storage Gateway .md","11-migration-and-hybrid-cloud/aws-storage-gateway/01-overview.md","rename-and-move",CPP,"service explanation",,high,"topic=Migration and hybrid cloud; service_or_concept=aws-storage-gateway; quality=canonical candidate; related=e) AWS Claude Network & Gateways/AWS File Gateway.md; e) AWS Claude Network & Gateways/AWS Storage Gateway vs AWS File Gateway.md; e) AWS Claude Network & Gateways/AWS Tape Gateway.md; e) AWS Claude Network & Gateways/AWS Tape Gateway(Claude version) .md; e) AWS Claude Network & Gateways/AWS Volume Gateway (Cached Mode) Claude version .md"
"e) AWS Claude Network & Gateways/AWS Storage Gateway vs AWS File Gateway.md","15-comparisons-and-decision-guides/cross-service/01-aws-storage-gateway-vs-aws-file-gateway.md","rename-and-move",CPP,comparison,,high,"topic=Comparisons and decision guides; service_or_concept=cross-service; quality=canonical candidate; related=e) AWS Claude Network & Gateways/AWS File Gateway.md; e) AWS Claude Network & Gateways/AWS Storage Gateway .md; e) AWS Claude Network & Gateways/AWS Tape Gateway.md; e) AWS Claude Network & Gateways/AWS Tape Gateway(Claude version) .md; e) AWS Claude Network & Gateways/AWS Volume Gateway (Cached Mode) Claude version .md"
"e) AWS Claude Network & Gateways/AWS Tape Gateway.md","11-migration-and-hybrid-cloud/aws-storage-gateway/05-tape-gateway.md","merge-later",CPP,"service explanation",DG-09-tape-gateway,high,"topic=Migration and hybrid cloud; service_or_concept=aws-storage-gateway; quality=duplicate candidate; related=e) AWS Claude Network & Gateways/AWS Tape Gateway(Claude version) .md"
